id,section_id,description,complexity,theme_id,explanation,source,theme_name
901,3,[IMAGE: /get_file?id=111723] В пра­виль­ной тре­уголь­ной пи­ра­ми­де  SABC  с вер­ши­ной  S  бис­сек­три­сы тре­уголь­ни­ка  ABC  пе­ре­се­ка­ют­ся в точке  O . Пло­щадь тре­уголь­ни­ка  ABC  равна 2; объем пи­ра­ми­ды равен 6. Най­ди­те длину от­рез­ка  OS .,2,17,не выполнено ранее,content,Пирамида
902,3,[IMAGE: /get_file?id=111724] В пра­виль­ной тре­уголь­ной пи­ра­ми­де  SABC  ме­ди­а­ны ос­но­ва­ния  ABC  пе­ре­се­ка­ют­ся в точке  [IMAGE: O.]  Пло­щадь тре­уголь­ни­ка  ABC  равна 9; объем пи­ра­ми­ды равен 6. Най­ди­те длину от­рез­ка  [IMAGE: OS.],2,17,не выполнено ранее,content,Пирамида
903,3,[IMAGE: /get_file?id=111725] В пра­виль­ной тре­уголь­ной пи­ра­ми­де  SABC  ме­ди­а­ны ос­но­ва­ния  ABC  пе­ре­се­ка­ют­ся в точке  [IMAGE: O.]  Пло­щадь тре­уголь­ни­ка  ABC  равна 2; объем пи­ра­ми­ды равен 5. Най­ди­те длину от­рез­ка  [IMAGE: OS.],2,17,не выполнено ранее,content,Пирамида
904,3,"[IMAGE: /get_file?id=111726] В пра­виль­ной тре­уголь­ной пи­ра­ми­де  SABC  ме­ди­а­ны ос­но­ва­ния  ABC  пе­ре­се­ка­ют­ся в точке  [IMAGE: O.]  Пло­щадь тре­уголь­ни­ка  ABC  равна 2, объем пи­ра­ми­ды равен 4. Най­ди­те длину от­рез­ка  [IMAGE: OS.] про­ве­ре­но кор­рек­то­ром",2,17,не выполнено ранее,content,Пирамида
905,3,[IMAGE: /get_file?id=111727] В пра­виль­ной тре­уголь­ной пи­ра­ми­де  SABC  ме­ди­а­ны ос­но­ва­ния  ABC  пе­ре­се­ка­ют­ся в точке  [IMAGE: O.]  Пло­щадь тре­уголь­ни­ка  ABC  равна 4; объем пи­ра­ми­ды равен 6. Най­ди­те длину от­рез­ка  [IMAGE: OS.] про­ве­ре­но кор­рек­то­ром,2,17,не выполнено ранее,content,Пирамида
1001,4,"На эк­за­мен вы­не­се­но 60 во­про­сов, Ан­дрей не вы­учил 3 из них. Най­ди­те ве­ро­ят­ность того, что ему по­па­дет­ся вы­учен­ный во­прос.",3,22,не выполнено ранее,content,Классическое определение вероятности
4491,7,"Най­ди­те зна­че­ние вы­ра­же­ния  [IMAGE: \log _31,8 плюс \log _35.]",3,37,не выполнено ранее,content,Преобразования числовых логарифмических выражений
5077,3,[IMAGE: /get_file?id=111576] Шар впи­сан в ци­линдр. Пло­щадь пол­ной по­верх­но­сти ци­лин­дра равна 18. Най­ди­те пло­щадь по­верх­но­сти шара.,2,18,не выполнено ранее,content,Комбинации тел
6429,8,"[IMAGE: /get_file?id=110094]  На ри­сун­ке изоб­ра­жен гра­фик  [IMAGE: y = f' левая круг­лая скоб­ка x пра­вая круг­лая скоб­ка ]   —  про­из­вод­ной функ­ции  [IMAGE: y=f левая круг­лая скоб­ка x пра­вая круг­лая скоб­ка ,]  опре­де­лен­ной на ин­тер­ва­ле  [IMAGE:  левая круг­лая скоб­ка минус 6; 6 пра­вая круг­лая скоб­ка .]  Най­ди­те про­ме­жут­ки воз­рас­та­ния функ­ции  [IMAGE: f левая круг­лая скоб­ка x пра­вая круг­лая скоб­ка .]  В от­ве­те ука­жи­те сумму целых точек, вхо­дя­щих в эти про­ме­жут­ки.  Важ­ный клон, из ка­та­ло­га не уби­рать!",1,44,не выполнено ранее,content,Применение производной к исследованию функций
26578,10,"Из пунк­та  A  в пункт  B  од­но­вре­мен­но вы­еха­ли два ав­то­мо­би­ля. Пер­вый про­ехал с по­сто­ян­ной ско­ро­стью весь путь. Вто­рой про­ехал первую по­ло­ви­ну пути со ско­ро­стью 24 км/ч, а вто­рую по­ло­ви­ну пути  — со ско­ро­стью, на 16 км/ч боль­шей ско­ро­сти пер­во­го, в ре­зуль­та­те чего при­был в пункт  B  од­но­вре­мен­но с пер­вым ав­то­мо­би­лем. Най­ди­те ско­рость пер­во­го ав­то­мо­би­ля. Ответ дайте в км/ч.",1,55,не выполнено ранее,content,Задачи на движение по прямой
